Vertexes,Gr,GrLE,GrSA,GrSD,
1,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,
4,2.0,1.0,2.0,2.0,
5,2.0,2.0,2.0,1.0,
6,2.0,1.25,2.0,2.0,
7,1.8,1.3333333333333333,1.8,1.4,
8,1.6666666666666667,1.0,1.5714285714285714,1.6666666666666667,
9,1.75,1.75,1.5,1.3636363636363635,
10,1.6363636363636365,1.0769230769230769,1.3333333333333333,1.25,
11,1.3529411764705883,1.125,1.2857142857142858,1.4285714285714286,
12,1.2380952380952381,1.1428571428571428,1.3,1.3,
13,1.25,1.1666666666666667,1.3636363636363635,1.25,
14,1.434782608695652,1.2692307692307692,1.52,1.2,
15,1.1875,1.0625,1.2424242424242424,1.2162162162162162,
