Vertexes |                Greed      GreedSortedDesc       GreedSortedAsc            GreedLEnd                  BBC           GreedLocal             BBCLocal                Brute
       1 |                    0                    0                    0                    0                    0                    0                    0                    0
       2 |                    0                    0                    0                    0                    0                    0                    0                    0
       3 |                    0                    0                    0                    0                    0                    0                    0                    0
       4 |                    0                    0                    0                    0                    0                    0                    0                    0
       5 |                    3                    3                    3                    3                    3                    3                    3                    3
       6 |                    4                    5                    4                    4                    5                    5                    4                    4
       7 |                    7                    5                    5                    7                    5                    7                    5                    5
       8 |                    7                   10                   11                    7                   10                    7                    7                    7
       9 |                   12                   12                   12                   12                   12                   12                   12                   12
      10 |                   13                   13                   15                   13                   13                   13                   13                   13
      11 |                   20                   24                   20                   20                   24                   18                   18                   18
      12 |                   25                   22                   23                   22                   28                   22                   22                   22
      13 |                   32                   30                   30                   32                   28                   26                   26                   26
      14 |                   36                   33                   36                   32                   38                   33                   32                   32
      15 |                   39                   41                   39                   39                   45                   37                   35                   35
      16 |                   51                   44                   50                   39                   45                   40                   39                   39
      17 |                   51                   51                   53                   51                   57                   51                   49                   49
      18 |                   61                   54                   60                   56                   64                   53                   53                   53
      19 |                   68                   66                   70                   68                   62                   64                   62                   62
      20 |                   79                   77                   75                   73                   82                   71                   71                   71
      21 |                   81                   81                   83                   79                   89                   79                   79                   79
      22 |                   93                   91                   94                   92                   97                   86                   86                   86
      23 |                  104                  106                  106                   94                  108                   94                   94                   94
      24 |                  112                  107                  113                  106                  123                  107                  104
      25 |                  122                  124                  122                  120                  130                  120                  116
      26 |                  141                  132                  136                  119                  137                  121                  119
      27 |                  137                  137                  141                  137                  153                  141                  135
      28 |                  156                  164                  157                  154                  178                  150                  147
      29 |                  168                  174                  170                  162                  186                  158                  158
      30 |                  173                  175                  184                  172                  194                  169                  167
      31 |                  195                  197                  193                  177                  215                  181                  175
      32 |                  200                  199                  209                  190                  226                  189                  189
      33 |                  215                  223                  215                  215                  241                  213                  201
      34 |                  237                  231                  229                  229                  259                  224                  220
      35 |                  253                  251                  255                  239                  275                  245                  231
      36 |                  269                  261                  268                  242                  288                  245                  242
      37 |                  272                  278                  284                  270                  316                  262                  260
      38 |                  293                  279                  284                  270                  322                  279                  270
      39 |                  301                  315                  325                  301                  339                  299                  285
      40 |                  330                  320                  332                  320                  355                  325                  306
