Vertices,Gr,GrSD,GrSA,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.23,1.18,1.4,
5,1.16,1.21,1.3,
6,1.25,1.247,1.3683333333333334,
7,1.1918571428571427,1.1898571428571432,1.2165714285714286,
8,1.2013492063492064,1.1867658730158732,1.1984920634920637,
9,1.1447272727272735,1.1529249639249648,1.237213564213565,
10,1.1603021978021977,1.161465201465201,1.1736816516816515,
11,1.163091817023706,1.1364310370571984,1.1892878652135626,
12,1.1429692956962274,1.1271462032979067,1.1607840531781675,
13,1.116182100025579,1.1411686229864721,1.149069396304179,
14,1.1236773323805722,1.1152732510413825,1.1341232491965252,
15,1.1294994797661986,1.1169191970777723,1.1204818853080494,
16,1.1053217251261853,1.1207881054324695,1.1075442390083095,
17,1.1267853994295294,1.1127568567290695,1.125223268506964,
18,1.1178690074057969,1.1103549860458093,1.132632696088635,
19,1.1095262963543446,1.118919341051938,1.1178190316660719,
20,1.1036142336257229,1.1023633181062538,1.116325629948651,
