Vertexes,Gr,GrLE,GrL,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.35,1.0,1.0,
5,1.09,1.06,1.04,
6,1.160333333333333,1.0125,1.0025,
7,1.166,1.064333333333333,1.0236666666666667,
8,1.173293650793651,1.039702380952381,1.0210515873015873,
9,1.1417474747474754,1.0723383838383842,1.033358585858586,
10,1.159561105561106,1.0259662004662005,1.0317331002331003,
11,1.1455480821208386,1.0829364833652766,1.0390003439972484,
12,1.1485286117914337,1.0468631311480283,1.0322861798765688,
13,1.1173914430979648,1.0680005073831162,1.0401043259478044,
14,1.10755820876684,1.035008128152385,1.019282835572741,
15,1.1345953064558265,1.0718241834068392,1.0526634141781208,
16,1.1226762337113863,1.032612387016744,1.0305456123528713,
17,1.1228189646171545,1.0662072927454502,1.035709704505538,
18,1.101907743605623,1.0358410906351356,1.0279931569572363,
19,1.0984381055217947,1.0545308950240597,1.0354691229636088,
20,1.1000336477482793,1.0346178943376927,1.0232229046562729,
