Vertexes,Gr,GrSD,GrSA,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.3,1.2,1.5,
5,1.3,1.1,1.5,
6,1.1916666666666667,1.1666666666666665,1.15,
7,1.2066666666666666,1.0,1.1300000000000001,
8,1.1364682539682538,1.1378968253968254,1.1817857142857142,
9,1.1574747474747475,1.1248484848484848,1.1596969696969697,
10,1.1660506160506159,1.1277306027306027,1.1188644688644689,
11,1.17015639589169,1.151140228021033,1.1942645830261929,
12,1.1225928457507406,1.0536363636363635,1.16414746759948,
13,1.11994301994302,1.0712250712250713,1.1507020757020758,
14,1.0814378078817735,1.0751100429048148,1.1424930809364902,
15,1.078349567099567,1.1377393684746626,1.1482636236312707,
16,1.1314144397680983,1.1503614167638556,1.1652297888883254,
17,1.1212328451690152,1.1375823342027287,1.1671739823919378,
18,1.0724843485942264,1.0980486400186735,1.1242364666615496,
19,1.1288781991972656,1.093381358279672,1.1269661304826848,
20,1.097059145363402,1.0805082531108472,1.1163845684463658,
21,1.086093854520044,1.1089478952007465,1.153593924491145,
22,1.1081648583465735,1.0676033938824132,1.1266356997524694,
23,1.074455171109745,1.1127363072523164,1.08367346417392,
24,1.0980643642072212,1.075068288854003,1.098333594976452,
25,1.0986035118627737,1.069340586283096,1.1003547498492436,
26,1.0923068462556162,1.0809852088659784,1.0982896551409282,
27,1.0937899937896163,1.0980235251661474,1.120535303418096,
28,1.0766095870893724,1.079084612640824,1.0778308627963011,
29,1.0998859756569648,1.085329496830563,1.0785495594591534,
30,1.0842718539349459,1.0952609313163413,1.115797896411988,
