Vertices,BBCLE,Gr,GrLE,GrL,GrSD,
1,1.0,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,1.0,
4,1.0,1.2266666666666668,0.9666666666666667,0.9666666666666667,1.0866666666666667,
5,1.0,1.24,1.07,1.04,1.26,
6,1.0,1.1229999999999998,0.955,0.951,1.1508333333333332,
7,1.0,1.0788571428571425,0.9855555555555553,0.9646984126984124,1.1213650793650793,
8,1.0,1.0916626984126987,0.9368593073593071,0.9349022366522365,1.0620768398268396,
9,1.0,1.0779140304140304,1.0127666222666223,0.9664898434898432,1.0692172272172276,
10,1.0,1.0341793225694151,0.9273955001826518,0.9257233904296597,1.0366118126369672,
11,1.0,1.0376761324069508,0.9896688645629955,0.9447937724208753,1.0347592953740148,
12,1.0,1.0120550332658422,0.9053740195688705,0.9046311635521016,1.0096579218304418,
13,1.0,1.0174211700586548,0.9616705575749088,0.9385701785332663,1.0089784890417985,
14,1.0,1.0022041929853325,0.9175466276009873,0.9151033937888308,1.0101997243101033,
15,1.0,0.9892591728719101,0.945253919067152,0.9165141864894488,0.9949884257995711,
16,1.0,1.0036058198352653,0.9252746525930562,0.9145745700454618,0.9829336419397231,
17,1.0,0.9891963307888915,0.9455848269177559,0.9198313867724582,0.9766382568311401,
18,1.0,0.9772363624866555,0.9109926334859401,0.9068176011580278,0.9760066120856173,
19,1.0,0.9863255122134703,0.9302185580717658,0.9141272760407744,0.9903444449231056,
20,1.0,0.9772414274226824,0.905432603734106,0.898735581365587,0.9809188961750678,
21,1.0,0.9774501979201378,0.934461250739659,0.9180712504384485,0.9724833321600654,
22,1.0,0.9656214415646027,0.9047453902493529,0.8974495559080894,0.9662683168772541,
23,1.0,0.9620131517995439,0.9212812038177828,0.9043908678865554,0.9589501942381996,
24,1.0,0.9703781162875843,0.9087739697306917,0.9002949750215508,0.9630789394813939,
25,1.0,0.9597362894091488,0.912473147413683,0.8957672026460429,0.9529974916502966,
26,1.0,0.9647333349957538,0.9052488729883472,0.9058395693606682,0.952308478434396,
27,1.0,0.9554225519085533,0.9215042979575422,0.907024096395601,0.9570405250168642,
28,1.0,0.9555852145861096,0.906595023081571,0.8999262997331374,0.9579628004622713,
29,1.0,0.9588916303759218,0.9166594456471945,0.8981293029502077,0.9541984441273638,
30,1.0,0.9538125007524658,0.9072981192057928,0.9011925148557901,0.9570161640464343,
31,1.0,0.9524560082616789,0.9211236626775425,0.9043899558410398,0.9578941299366504,
32,1.0,0.9586813549317357,0.9012669450209582,0.8951507334987232,0.9576315943872903,
33,1.0,0.9574033575293703,0.9186821277167002,0.8989512359243281,0.9506734647570922,
34,1.0,0.9470776611987854,0.9057127692705166,0.8940016796799999,0.9445741708167987,
35,1.0,0.9523805658434168,0.9163147906093776,0.9052803072989245,0.9543244294677976,
36,1.0,0.9443540065625564,0.8978810686447267,0.8961402280928971,0.9447891437949544,
37,1.0,0.9457844984801149,0.9092195898329267,0.8952403462469896,0.9434702297128895,
38,1.0,0.9460089279958972,0.8991981848556617,0.89378884831091,0.9440386167585221,
39,1.0,0.9484252276678491,0.9129759848427393,0.8973652417564764,0.9432407626321863,
40,1.0,0.9454867539002203,0.9005287042037954,0.8957253325835256,0.9452802604782364,
41,1.0,0.9489963296638868,0.9107842594760099,0.8987358486393359,0.9471640936814916,
42,1.0,0.9421084348635296,0.9051502438927104,0.8984377584784109,0.9488069984537633,
43,1.0,0.9488997246884593,0.9140922175651812,0.8987717361586053,0.9461323301865613,
44,1.0,0.9456394449813272,0.9076798870991227,0.8969414478599667,0.9473140615131146,
45,1.0,0.9464601228737973,0.9143850196218081,0.900842400430359,0.9446340656214386,
46,1.0,0.9449832317154852,0.9058424367876605,0.9007259918746806,0.9452158679262123,
47,1.0,0.9494930174772772,0.916986031441314,0.9023787228784628,0.9457954369847247,
48,1.0,0.9438325473274084,0.9072020267163172,0.8999502012035916,0.9488777112082667,
49,1.0,0.9462036798399143,0.9164667516540855,0.9015030171428056,0.9454052781947696,
50,1.0,0.94556785721258,0.9074454030893513,0.9008130523789123,0.9392236188306491,
