Vertices,CSW,Gr,GrLE,GrL,GrSD,
1,1.0,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,1.0,
4,1.0,1.11,1.0,1.0,1.02,
5,1.0,1.1,1.02,1.02,1.0,
6,1.0,1.0866666666666667,1.0,1.0,1.0025,
7,1.0,1.2106666666666666,1.005,1.0,1.0,
8,1.0,1.2583333333333335,1.0025,1.0025,1.0025,
9,1.0,1.1003333333333334,1.0,1.0,1.0,
10,1.0,1.1180476190476192,1.0,1.0,1.0,
11,1.0,1.1451984126984127,1.0,1.0,1.0,
12,1.0,1.0615714285714286,1.0,1.0,1.0,
13,1.0,1.158445054945055,1.0,1.0,1.0,
14,1.0,1.1995512265512267,1.0,1.0,1.0,
15,1.0,1.1836813170489642,1.0,1.0,1.0,
16,1.0,1.2082770162843692,1.0,1.0,1.0,
17,1.0,1.169425682160976,1.0,1.0,1.0,
18,1.0,1.0977500307140398,1.0,1.0,1.0,
19,1.0,1.0811083738987761,1.0,1.0,1.0,
20,1.0,1.1286525148510274,1.0,1.0,1.0,
21,1.0,1.1382803403027806,1.0,1.0,1.0,
22,1.0,1.1187805883930884,1.0,1.0,1.0,
23,1.0,1.0765803969914964,1.0,1.0,1.0,
24,1.0,1.0353432395307396,1.0,1.0,1.0070000000000001,
25,1.0,1.0854974105694435,1.0,1.0,1.0,
26,1.0,1.0668730513726516,1.0,1.0,1.0,
27,1.0,1.0890050221199326,1.0,1.0,1.0,
28,1.0,1.1074269043692355,1.0,1.0,1.0,
29,1.0,1.0693340642404696,1.0,1.0,1.0056521739130435,
30,1.0,1.093204250750135,1.0,1.0,1.0,
31,1.0,1.0683399367400896,1.0,1.0,1.0,
32,1.0,1.058791623874379,1.0,1.0,1.0,
33,1.0,1.0392069729249909,1.0,1.0,1.0,
34,1.0,1.0859130896860056,1.0,1.0,1.0046969696969696,
35,1.0,1.0757364486018348,1.0,1.0,1.004776119402985,
36,1.0,1.0460117764868941,1.0,1.0,1.0052380952380953,
37,1.0,1.0928892300690907,1.0,1.0,1.0,
38,1.0,1.08340366344402,1.0,1.0,1.0,
39,1.0,1.0367090556237606,1.0,1.0,1.0,
40,1.0,1.0404491112603476,1.0,1.0,1.0,
41,1.0,1.0494810178057477,1.0,1.0,1.0037113402061855,
42,1.0,1.0692270001822193,1.0,1.0,1.0045679012345679,
43,1.0,1.1008657567986297,1.0,1.0,1.0043956043956044,
44,1.0,1.0460303990450028,1.0,1.0,1.0,
45,1.0,1.0831666613032014,1.0,1.0,1.0033613445378151,
46,1.0,1.0525647612095064,1.0,1.0,1.003046875,
47,1.0,1.0466626117708602,1.0,1.0,1.003716814159292,
48,1.0,1.0666283031544928,1.0,1.0,1.0,
49,1.0,1.0325297892866294,1.0,1.0,1.0114082992322246,
50,1.0,1.0792305301869036,1.0,1.0,1.0,
