Vertices,Gr,GrLE,GrL,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.0,0.9515,0.9515,
5,1.0,0.9693333333333338,0.9683333333333338,
6,1.0,0.9445666666666662,0.9445666666666662,
7,1.0,0.9444793650793653,0.9409039682539686,
8,1.0,0.9300545454545456,0.9286212121212124,
9,1.0,0.9357156621156618,0.93492079032079,
10,1.0,0.9334125341033237,0.9334125341033237,
11,1.0,0.9423479657683218,0.9415979657683219,
12,1.0,0.9251207735245713,0.9251207735245713,
13,1.0,0.9311147871368722,0.9303719299940151,
14,1.0,0.9272058537768232,0.9272058537768232,
15,1.0,0.9288664984392349,0.9283299130733812,
16,1.0,0.9379046906695759,0.9379046906695759,
17,1.0,0.931424819210871,0.931424819210871,
18,1.0,0.9349622005827424,0.9349622005827424,
19,1.0,0.9283250469077069,0.9283250469077069,
20,1.0,0.9316544748464113,0.9316544748464113,
21,1.0,0.9319124420007069,0.9319124420007069,
22,1.0,0.9389358789074517,0.9389358789074517,
23,1.0,0.9390134603183746,0.9390134603183746,
24,1.0,0.9390916365954796,0.9390916365954796,
25,1.0,0.9436329473954412,0.9436329473954412,
26,1.0,0.9457100972270569,0.9457100972270569,
27,1.0,0.9418349741554357,0.9418349741554357,
28,1.0,0.9496892962422685,0.9496892962422685,
29,1.0,0.94661508816716,0.94661508816716,
30,1.0,0.9473296237463612,0.9473296237463612,
31,1.0,0.9460426480518144,0.9460426480518144,
32,1.0,0.9391892015484441,0.9391892015484441,
33,1.0,0.9517959329837627,0.9517959329837627,
34,1.0,0.9510607417303886,0.9510607417303886,
35,1.0,0.9471452351657815,0.9471452351657815,
36,1.0,0.9511532823587469,0.9511532823587469,
37,1.0,0.9531230821565333,0.9531230821565333,
38,1.0,0.9530667747040581,0.9530667747040581,
39,1.0,0.9568038278545888,0.9568038278545888,
40,1.0,0.9579062558809006,0.9579062558809006,
41,1.0,0.9540100897925363,0.9540100897925363,
42,1.0,0.95741379104536,0.95741379104536,
43,1.0,0.9572267764973933,0.9572267764973933,
44,1.0,0.9523114374253545,0.9523114374253545,
45,1.0,0.9522444810899707,0.9522444810899707,
46,1.0,0.9554630102648505,0.9554630102648505,
47,1.0,0.9608087012930207,0.9608087012930207,
48,1.0,0.9609014315020922,0.9609014315020922,
49,1.0,0.9594385244529775,0.9594385244529775,
50,1.0,0.9662264561620956,0.9662264561620956,
51,1.0,0.9641936649036629,0.9641936649036629,
52,1.0,0.9567108709135331,0.9567108709135331,
53,1.0,0.9602104788168121,0.9602104788168121,
54,1.0,0.9636993452058523,0.9636993452058523,
55,1.0,0.9598693286915857,0.9598693286915857,
56,1.0,0.959749885512901,0.959749885512901,
57,1.0,0.9663245068698487,0.9663245068698487,
58,1.0,0.9664215733268007,0.9664215733268007,
59,1.0,0.967629563019261,0.967629563019261,
60,1.0,0.9689680900371598,0.9689680900371598,
61,1.0,0.9681293632188073,0.9681293632188073,
62,1.0,0.9596250097271838,0.9596250097271838,
63,1.0,0.9690480754992681,0.9690480754992681,
64,1.0,0.9693094201204059,0.9693094201204059,
65,1.0,0.9663386077536809,0.9663386077536809,
66,1.0,0.9647083475792919,0.9647083475792919,
67,1.0,0.968964077497488,0.968964077497488,
68,1.0,0.9640452327186425,0.9640452327186425,
69,1.0,0.9673444915712063,0.9673444915712063,
70,1.0,0.9668267882245695,0.9668267882245695,
71,1.0,0.967867176808835,0.967867176808835,
72,1.0,0.9671348634378598,0.9671348634378598,
73,1.0,0.967114031794516,0.967114031794516,
74,1.0,0.9672013795896964,0.9672013795896964,
75,1.0,0.9673876653425043,0.9673876653425043,
76,1.0,0.971510255396876,0.971510255396876,
77,1.0,0.9713841953987983,0.9713841953987983,
78,1.0,0.9682938598122219,0.9682938598122219,
79,1.0,0.9690687780227941,0.9690687780227941,
80,1.0,0.9695157050372386,0.9695157050372386,
81,1.0,0.9706051736284489,0.9706051736284489,
82,1.0,0.9666959365715778,0.9666959365715778,
83,1.0,0.9690290199806653,0.9690290199806653,
84,1.0,0.972568587748215,0.972568587748215,
85,1.0,0.972538309136833,0.972538309136833,
86,1.0,0.9712688199655904,0.9712688199655904,
87,1.0,0.9701741653970032,0.9701741653970032,
88,1.0,0.9730071389924686,0.9730071389924686,
89,1.0,0.9707553921491321,0.9707553921491321,
90,1.0,0.976443901409801,0.976443901409801,
91,1.0,0.9770970137583416,0.9770970137583416,
92,1.0,0.9749973104961033,0.9749973104961033,
93,1.0,0.9742643113319612,0.9742643113319612,
94,1.0,0.9747869554828368,0.9747869554828368,
95,1.0,0.9728095790527064,0.9728095790527064,
96,1.0,0.9732864984096544,0.9732864984096544,
97,1.0,0.9762292033799468,0.9762292033799468,
98,1.0,0.9781356092941204,0.9781356092941204,
99,1.0,0.9782210989215685,0.9782210989215685,
100,1.0,0.9784911453362414,0.9784911453362414,
